FlightNumber,Origin,Destination,ScheduledDeparture,ScheduledArrival,Status,DisruptionReason,Gate,Aircraft,SeatsAvailable,FareClass,Cabin,IsRebookable
UA7244,ORD,LAX,2025-06-18 08:41:00,2025-06-18 11:26:00,On Time,,D25,B737,11,M,Economy,False
UA5243,ORD,ATL,2025-06-18 22:40:00,2025-06-19 02:19:00,On Time,,D23,B787,9,J,Business,False
UA4944,ORD,SFO,2025-06-18 11:08:00,2025-06-18 14:52:00,On Time,,A25,CRJ900,5,J,First,False
UA106,ORD,DEN,2025-06-18 10:16:00,2025-06-18 13:51:00,On Time,,A25,B787,19,J,Business,False
UA3601,ORD,SFO,2025-06-18 15:52:00,2025-06-18 19:20:00,On Time,,G2,A320,9,J,First,False
UA1630,ORD,DFW,2025-06-18 21:36:00,2025-06-19 01:57:00,On Time,,D8,B737,4,Y,Economy,False
UA1293,ORD,MIA,2025-06-18 08:21:00,2025-06-18 12:00:00,On Time,,F4,B737,12,M,Business,False
UA190,ORD,ATL,2025-06-18 08:19:00,2025-06-18 11:00:00,Delayed,Late Arrival,G2,B787,14,Y,First,False
UA2284,ORD,MIA,2025-06-18 08:30:00,2025-06-18 10:59:00,On Time,,D25,B787,10,M,First,False
UA9076,ORD,MIA,2025-06-18 17:13:00,2025-06-18 21:06:00,Delayed,ATC Congestion,G11,CRJ900,8,Y,First,False
UA4019,ORD,DEN,2025-06-18 09:27:00,2025-06-18 13:58:00,On Time,,D23,B737,8,M,Business,False
UA2571,ORD,DFW,2025-06-18 18:26:00,2025-06-18 20:34:00,On Time,,B19,B737,2,M,Business,False
UA6912,ORD,LAX,2025-06-18 11:17:00,2025-06-18 15:46:00,On Time,,A25,CRJ900,18,J,Economy,False
UA196,ORD,PHX,2025-06-18 19:39:00,2025-06-18 23:09:00,On Time,,E26,CRJ900,17,J,First,False
UA3713,ORD,MIA,2025-06-18 18:38:00,2025-06-18 23:35:00,On Time,,A25,CRJ900,0,M,Business,False
UA6724,ORD,JFK,2025-06-18 22:49:00,2025-06-19 03:40:00,Delayed,Late Arrival,B13,B787,0,M,First,False
UA1475,ORD,SEA,2025-06-18 19:15:00,2025-06-18 23:16:00,On Time,,C23,B737,1,M,Business,False
UA5455,ORD,PHX,2025-06-18 11:10:00,2025-06-18 13:39:00,Delayed,Crew Delay,A18,CRJ900,8,Y,Business,False
UA953,ORD,PHX,2025-06-18 00:39:00,2025-06-18 05:13:00,On Time,,D5,A320,0,Y,Economy,False
UA4008,ORD,JFK,2025-06-18 00:41:00,2025-06-18 04:50:00,On Time,,B22,B787,6,M,First,False
UA1976,ORD,JFK,2025-06-18 08:44:00,2025-06-18 11:54:00,Cancelled,Weather,F4,A320,9,J,First,True
UA3349,ORD,ATL,2025-06-18 12:48:00,2025-06-18 16:33:00,On Time,,D8,A320,9,J,First,False
UA772,ORD,PHX,2025-06-18 04:07:00,2025-06-18 08:57:00,On Time,,H19,A320,16,J,Business,False
UA8131,ORD,ATL,2025-06-18 00:25:00,2025-06-18 04:17:00,On Time,,H19,CRJ900,4,M,Economy,False
UA8917,ORD,MIA,2025-06-18 17:48:00,2025-06-18 22:05:00,On Time,,F4,A321,10,Y,Economy,False
UA7713,ORD,CLT,2025-06-18 09:31:00,2025-06-18 12:46:00,On Time,,E26,A321,0,M,Business,False
UA5913,ORD,DEN,2025-06-18 06:12:00,2025-06-18 09:25:00,On Time,,B13,A321,17,Y,First,False
UA6758,ORD,MIA,2025-06-18 06:31:00,2025-06-18 08:46:00,On Time,,D8,CRJ900,20,J,Business,False
UA4920,ORD,DFW,2025-06-18 15:17:00,2025-06-18 17:22:00,On Time,,D8,A321,18,M,Business,False
UA7071,ORD,SFO,2025-06-18 18:53:00,2025-06-18 23:15:00,On Time,,C23,A321,9,M,Economy,False
UA5269,ORD,ATL,2025-06-18 04:07:00,2025-06-18 08:19:00,On Time,,G2,B737,6,J,Business,False
UA8695,ORD,CLT,2025-06-18 09:26:00,2025-06-18 14:03:00,On Time,,B22,B737,9,Y,Business,False
UA8851,ORD,JFK,2025-06-18 06:07:00,2025-06-18 09:07:00,On Time,,E8,B787,9,J,Economy,False
UA300,ORD,CLT,2025-06-18 21:46:00,2025-06-19 00:52:00,On Time,,G11,CRJ900,10,Y,Economy,False
UA1170,ORD,SEA,2025-06-18 08:37:00,2025-06-18 11:44:00,On Time,,F4,A320,4,Y,First,False
UA2040,ORD,SFO,2025-06-18 10:22:00,2025-06-18 12:37:00,Delayed,ATC Congestion,B13,B787,7,J,Business,False
UA9742,ORD,SEA,2025-06-18 15:22:00,2025-06-18 18:41:00,On Time,,B13,A320,19,J,Economy,False
UA4435,ORD,ATL,2025-06-18 07:05:00,2025-06-18 11:18:00,On Time,,G2,B787,2,Y,Economy,False
UA9829,ORD,MIA,2025-06-18 13:56:00,2025-06-18 17:40:00,On Time,,D8,A321,9,J,Business,False
UA4434,ORD,CLT,2025-06-18 02:25:00,2025-06-18 06:39:00,On Time,,A3,CRJ900,3,J,Economy,False
UA4452,ORD,JFK,2025-06-18 22:06:00,2025-06-19 01:04:00,On Time,,G2,A321,19,J,First,False
UA7779,ORD,DEN,2025-06-18 09:51:00,2025-06-18 12:58:00,On Time,,A18,B787,17,M,Business,False
UA7178,ORD,PHX,2025-06-18 02:44:00,2025-06-18 06:46:00,On Time,,B1,A320,7,J,First,False
UA4515,ORD,CLT,2025-06-18 20:02:00,2025-06-18 22:50:00,On Time,,G2,CRJ900,16,J,Business,False
UA7241,ORD,MIA,2025-06-18 09:29:00,2025-06-18 12:06:00,Cancelled,Mechanical Issue,H19,CRJ900,10,M,First,True
UA6844,ORD,MIA,2025-06-18 03:34:00,2025-06-18 05:55:00,On Time,,E26,B787,1,M,Economy,False
UA1999,ORD,SEA,2025-06-18 10:44:00,2025-06-18 14:04:00,Delayed,Late Arrival,D25,CRJ900,13,Y,Economy,False
UA8267,ORD,MIA,2025-06-18 17:41:00,2025-06-18 21:20:00,Delayed,Late Arrival,A18,B787,4,M,Business,False
UA572,ORD,CLT,2025-06-18 23:50:00,2025-06-19 02:57:00,Delayed,ATC Congestion,G2,A321,17,Y,First,False
UA1958,ORD,MIA,2025-06-18 13:55:00,2025-06-18 16:09:00,Delayed,ATC Congestion,B19,CRJ900,9,J,First,False
UA8005,ORD,MIA,2025-06-18 09:19:00,2025-06-18 13:12:00,On Time,,D25,B737,12,Y,First,False
UA2336,ORD,ATL,2025-06-18 17:20:00,2025-06-18 22:16:00,On Time,,A25,A321,16,M,Economy,False
UA9716,ORD,CLT,2025-06-18 09:39:00,2025-06-18 13:58:00,Cancelled,Mechanical Issue,B19,CRJ900,17,M,Business,True
UA9003,ORD,SEA,2025-06-18 11:20:00,2025-06-18 16:08:00,On Time,,G8,B737,7,J,Business,False
UA5313,ORD,MIA,2025-06-18 07:58:00,2025-06-18 11:00:00,On Time,,E26,CRJ900,20,Y,Business,False
UA9769,ORD,PHX,2025-06-18 01:15:00,2025-06-18 03:47:00,Delayed,Crew Delay,B22,B787,14,Y,First,False
UA2629,ORD,ATL,2025-06-18 04:55:00,2025-06-18 08:50:00,On Time,,A18,A321,19,J,Business,False
UA5483,ORD,SFO,2025-06-18 22:10:00,2025-06-19 01:04:00,On Time,,G8,CRJ900,17,Y,First,False
UA4808,ORD,DFW,2025-06-18 02:20:00,2025-06-18 05:00:00,On Time,,A25,A320,20,J,Economy,False
UA5006,ORD,LAX,2025-06-18 15:08:00,2025-06-18 17:52:00,On Time,,E8,A321,11,M,Business,False
